date,site,type,counts
2021-08-18,site_2,n2,13524.101166666667
2021-08-18,site_3,cra,3131965.5
2021-08-18,site_3,n2,7328.719833333334
2021-08-18,site_4,cra,22098119
2021-08-18,site_4,n2,26174.055
2021-08-23,site_1,cra,NA
2021-08-23,site_1,n2,NA
2021-08-23,site_2,cra,17917305.5
2021-08-23,site_2,n2,18643.828333333335
2021-08-23,site_3,cra,NA
2021-08-23,site_3,n2,NA
2021-08-23,site_4,cra,15593248.6
2021-08-23,site_4,n2,19495.653333333335
2021-08-23,site_5,cra,4413262.0600000005
2021-08-23,site_5,n2,263762.3661666667
2021-08-25,site_1,cra,NA
2021-08-25,site_1,n2,NA
2021-08-25,site_2,cra,NA
2021-08-25,site_2,n2,66919.01486666666
2021-08-25,site_3,cra,NA
2021-08-25,site_3,n2,NA
2021-08-25,site_4,cra,NA
2021-08-25,site_4,n2,10359.744533333333
2021-08-25,site_5,cra,NA
2021-08-25,site_5,n2,NA
2021-08-30,site_1,cra,13877483.9
2021-08-30,site_1,n2,19217.13333333333
2021-08-30,site_2,cra,13161199.65
2021-08-30,site_2,n2,36416.95166666667
2021-08-30,site_3,cra,0
2021-08-30,site_3,n2,NA
2021-08-30,site_4,cra,NA
2021-08-30,site_4,n2,5489.3327
2021-08-30,site_5,cra,NA
2021-08-30,site_5,n2,51901.79523333333
2021-09-01,site_1,cra,4662130.87
2021-09-01,site_1,n2,4.79445
2021-09-01,site_2,cra,11217597.9
2021-09-01,site_2,n2,83168.84383333333
2021-09-01,site_3,cra,6940836.345
2021-09-01,site_3,n2,1510.7646
2021-09-01,site_4,cra,11728631.1
2021-09-01,site_4,n2,399647.99525
2021-09-01,site_5,cra,11292996.25
2021-09-01,site_5,n2,201589.928
2021-09-07,site_1,cra,246448684
2021-09-07,site_1,n2,118266.29016666667
2021-09-07,site_2,cra,3845421.1500000004
2021-09-07,site_2,n2,8570.719633333334
2021-09-07,site_3,cra,145710.79
2021-09-07,site_3,n2,38992.5375
2021-09-07,site_4,cra,NA
2021-09-07,site_4,n2,NA
2021-09-07,site_5,cra,NA
2021-09-07,site_5,n2,NA
2021-09-14,site_1,cra,NA
2021-09-14,site_1,n2,0.1404
2021-09-14,site_2,cra,4832523.24
2021-09-14,site_2,n2,58784.57833333333
2021-09-14,site_3,cra,211002.464
2021-09-14,site_3,n2,1324.76485
2021-09-14,site_4,cra,660479.9384999999
2021-09-14,site_4,n2,2874.1884333333333
2021-09-14,site_5,cra,NA
2021-09-14,site_5,n2,314197.93333333335
2021-09-16,site_1,cra,5923901.355
2021-09-16,site_1,n2,180925.70183333335
2021-09-16,site_2,cra,20870657.95
2021-09-16,site_2,n2,40724.42396666667
2021-09-16,site_3,cra,NA
2021-09-16,site_3,n2,42499.34156666667
